,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
638,JenneferAhlste1,😈 100% natural 🔥😈 This is my ONLY Twitter account 👄,,1001,47,71,55,"NYT 🚨-- Russia’s Doping Ban Is Halved by Court of Arbitration for Sport, But Remain Banned From Next 2 Olympics and Soccer World Cup in 2022

https://t.co/vyuwXa5SEa",[]
639,Birminghamnews7,News from around Birmingham and West Midlands,,208,175,35851,2,"Nuno Espirito Santo says Wolves fans’ favourite Jonny Castro Otto is ‘doing a fantastic job’ in his recovery from a serious knee injury #wwfc 

https://t.co/rLy5P1pcdi",[]
640,thecompletebody,"Now is the perfect time to get fit and build some muscle. Grab your copy of bodybuilding EBook here https://t.co/vXgRbDxEyT 

#muscle #abs #fit #exercise",,54,61,197,0,"Counterpointed by a number of striking tattoos, hers is a body defined by muscle. She is a mother of two who embodies power and strength. 

https://t.co/FfGjnL7NZN

#body #power #mother","['body', 'power', 'mother']"
641,ExpressandStar,Breaking news and sport from the Express & Star | Email us at newsdesk@expressandstar.co.uk,Wolverhampton,3849,151505,195671,0,"Dean Smith claimed Villa’s squad had passed its first serious test of the season despite Thursday's frustrating stalemate against Burnley #avfc 

https://t.co/AOrArYqeFF",['avfc']
642,ShropshireStar,Breaking news and sport from the Shropshire Star | Email us at newsroom@shropshirestar.co.uk.,"Shropshire, UK",3053,89966,117121,0,"Former Shrewsbury Town winger Jon Taylor has warned of a generation of young players facing mental health issues due to the intense pressures they face to succeed in the professional ranks #salop 

https://t.co/geAAIyock2",['salop']
643,wbawwwiiillll,"1878 The Love Of My Life Was Born, West Bromwich Albion. UTA ! COYB ! , The Lords My Shepherd.","West Bromwich, England",1537,721,50752,3,"Slaven Bilic says he 'knew something was happening' regarding his future on Albion's return journey from Man City.

He says he wasn't shocked when he was given the news, but did feel he was in a good position following the City draw #wba #baggies

https://t.co/g6WhvE5s5B",[]
644,HillLad,https://t.co/NRoKr9YeY3 instagram- https://t.co/guT3KVYajb,"Great Barr, Birmingham, UK ",1905,1452,22306,3,"Slaven Bilic says he 'knew something was happening' regarding his future on Albion's return journey from Man City.

He says he wasn't shocked when he was given the news, but did feel he was in a good position following the City draw #wba #baggies

https://t.co/g6WhvE5s5B",[]
645,gabpdx,"Do the next right thing. #RCTID⭐️ #BAONPDX⭐️🌟 Also, I podcast with @thrace","Portland, OR",1031,1588,161352,4,"Full link to interview (paywall) with screen grab via @MarineRom:

https://t.co/GdQNDkCVyu https://t.co/TlPMaPIdcb",[]
646,JeffKassouf,"Founder, @EqualizerSoccer | Subscribe: https://t.co/5J3GSmcGRK | Co-author, Women's World Cup book: https://t.co/goXE8VLaoH | Sports Emmy-winner",Earth,2075,16173,44717,4,"Full link to interview (paywall) with screen grab via @MarineRom:

https://t.co/GdQNDkCVyu https://t.co/TlPMaPIdcb",[]
647,Birminghamnews7,News from around Birmingham and West Midlands,,208,175,35851,2,"Albion’s players will have around a month to impress Sam Allardyce after the boss confirmed he does have money to spend in January #wba #baggies 

https://t.co/1LqeOVCAc3",[]
648,Birminghamnews7,News from around Birmingham and West Midlands,,208,175,35851,2,"Sam Allardyce says he has become Albion boss because he wants the thrill of keeping the club in the Premier League #wba #baggies 

https://t.co/8aUkwhCAR6",['wba']
649,stuijvesant,Stuijvesant Wealth Strategy werkt voor succesvolle ondernemers en families om het vermogen te professionaliseren.,The Netherlands,47,32,500,0,"Emily Harrington: 'We should be less afraid to be afraid,' says climber after making history on El Capitan - CNN https://t.co/1CWQQKQ0Js",[]
650,KBCCHANNELTV,"Kashmir Broadcasting Corporation, Making the Invisible, Visible. Globalising and Integrating Kashmiri News with the World.",,110,138,96394,0,"Russia’s doping ban reduced to two years, Court of Arbitration for Sport rules https://t.co/ycEpuplUsS",[]
651,ExpressandStar,Breaking news and sport from the Express & Star | Email us at newsdesk@expressandstar.co.uk,Wolverhampton,3849,151505,195671,3,"Slaven Bilic says he 'knew something was happening' regarding his future on Albion's return journey from Man City.

He says he wasn't shocked when he was given the news, but did feel he was in a good position following the City draw #wba #baggies

https://t.co/g6WhvE5s5B",[]
652,Cinnamongirl309,Proud Resister; Awake; Hebrew; Mother and Wife; NO DMS: Logophile #Demvoice1,"Champaign, IL",8677,9566,87522,0,"Russia's doping ban reduced to two years, Court of Arbitration for Sport rules
https://t.co/D1atTP8DWg

#DemVoice1",['DemVoice1']
653,LHatfield_Star,"Digital Sports Journalist for @expressandstar + @shropshirestar. Expect tweets about AVFC, WBA, WWFC + WFC. Villa fan. Bang average basketball player. DMs open.","West Midlands, England",527,3415,10398,3,"Slaven Bilic says he 'knew something was happening' regarding his future on Albion's return journey from Man City.

He says he wasn't shocked when he was given the news, but did feel he was in a good position following the City draw #wba #baggies

https://t.co/g6WhvE5s5B","['wba', 'baggies']"
654,benetlopera,Introductor de la tècnica del gotejat a Catalunya. Nyaps Technical Manager a la multinacional Manel i Companyia.  Ⓥ,"C/Lanzarote, 19",1204,405,10852,10,"https://t.co/uwkbhc7tkX
Three hunting towers destroyed in Germany.

“We are the Animal Liberation Front and we will come back to defend the forest.
More towers will fall until they stop this so-called sport, which is nothing else but murder.

Smash speciesism!” https://t.co/IHtCTX21zk",[]
655,jake_bickerton,Editor of @Broadcast_Sport & @Broadcast_Tech & tech editor of @Broadcastnow. Also write about & make music. @Spotify artist account – https://t.co/b6DOr9O2Ey,London,672,1539,3807,1,"Here's a handy #TV schedule listing which #sports broadcaster is showing each of the #PremierLeague fixtures from 19 #December 2020 to 31 #January 2021. 

@SkySports / @btsport / @primevideouk / @BBCSport / @premierleague #football #television

https://t.co/NKvbQ96Po9","['TV', 'sports', 'PremierLeague']"
656,PROFAAN1K,"le syndicat c'est MOI!!!!
#IWW #CGT #OBU
oui chuychonchon et alors ?",dans l'arbre :),993,276,27819,10,"https://t.co/uwkbhc7tkX
Three hunting towers destroyed in Germany.

“We are the Animal Liberation Front and we will come back to defend the forest.
More towers will fall until they stop this so-called sport, which is nothing else but murder.

Smash speciesism!” https://t.co/IHtCTX21zk",[]
657,broadcast_sport,"The business of sports media. Daily #sports #production, #distribution and #tech #innovation news. Quarterly magazine, runs regular sports industry events.","London, England",590,1583,1930,1,"Here's a handy #TV schedule listing which #sports broadcaster is showing each of the #PremierLeague fixtures from 19 #December 2020 to 31 #January 2021. 

@SkySports / @btsport / @primevideouk / @BBCSport / @premierleague #football #television

https://t.co/NKvbQ96Po9","['TV', 'sports', 'PremierLeague', 'December', 'January', 'football', 'television']"
658,staronline,News updates from Malaysia's top English-language daily and website,"Kuala Lumpur, Malaysia",213,1649998,385787,0,"Soccer-I'll walk away only if it serves Sheffield United, says Wilder
https://t.co/3JamHfRizr  https://t.co/3JamHfRizr",[]
659,cha_rendon,"Franca en valorar al humano
#Socióloga #UAMX #DataAnalyst",CDMX,883,595,14876,0,"Strava’s 2020 Year in Sport finds activity &amp; growth in a pandemic, plus 700 Everestings https://t.co/h0UUellHHt vía @bikerumor",[]
660,AndreMueller10,"What, me worry?",Mad ,224,200,4861,10,"https://t.co/uwkbhc7tkX
Three hunting towers destroyed in Germany.

“We are the Animal Liberation Front and we will come back to defend the forest.
More towers will fall until they stop this so-called sport, which is nothing else but murder.

Smash speciesism!” https://t.co/IHtCTX21zk",[]
661,ChochilinoRadio,,,27,95,291485,0,Megan Rapinoe explains why her place in Fifa Women’s World 11 team of 2020 shows how far game has to go https://t.co/qo1LzKBlGf,[]
662,jayauna,,,112,18,17000,0,"US climber Emily Harrington makes history on El Capitan

https://t.co/A0QhTgPWsS",[]
663,th1an1,No Borders - No Nations - Stop Deportations,Everywhere,83,10194,7651,10,"https://t.co/uwkbhc7tkX
Three hunting towers destroyed in Germany.

“We are the Animal Liberation Front and we will come back to defend the forest.
More towers will fall until they stop this so-called sport, which is nothing else but murder.

Smash speciesism!” https://t.co/IHtCTX21zk",[]
664,wbawwwiiillll,"1878 The Love Of My Life Was Born, West Bromwich Albion. UTA ! COYB ! , The Lords My Shepherd.","West Bromwich, England",1537,721,50752,2,"Sam Allardyce says he has become Albion boss because he wants the thrill of keeping the club in the Premier League #wba #baggies 

https://t.co/8aUkwhCAR6",['wba']
665,fad_zfle,ig : fadli_zulkafle,,577,392,43015,5,Present coach Dollah Salleh is still very much part of the team’s plans but manager Datuk Suffian Awang wants to get someone well versed in Asean football. #MSL2021 #MFLTransfer2021  https://t.co/fCce9tucDd,[]
666,OnyeamumaElijah,"Behold Elijah is here ... 1Kings 18:8,11.
The prophet after the Order of John the Baptist .... in the Spirit and Power of Elijah ... Luke 1:17.",Enugu,15,0,15,0,Wolves target Liverpool man as cover for injured Raul Jimenez https://t.co/3KkjbelIrp via @Metro_Sport  Not serious. Buy him. Not on loan.,[]
667,alexpunx1977,#AnarchoPunk #AnimalLiberationFront #Ateo #Apátrida #DIY Ⓐ/Ⓔ/Ⓥ/ There Is No Authority But Yourself! 💚🖤🏴 https://t.co/oNp8FiaL7I,Madrid And Everywhere,3972,5658,25438,10,"https://t.co/uwkbhc7tkX
Three hunting towers destroyed in Germany.

“We are the Animal Liberation Front and we will come back to defend the forest.
More towers will fall until they stop this so-called sport, which is nothing else but murder.

Smash speciesism!” https://t.co/IHtCTX21zk",[]
668,irishnewssport,"Sports news, analysis and more from the Irish News.",Belfast,1474,31778,61454,0,"Brendan Crossan: Donal Og speaks from afar but doesn’t really get it
#premium 

https://t.co/MV39ucSQoc",['premium']
669,accedotv,Transforming the video experience.,Sweden,2164,3548,2749,3,"COMMENT: Luke Gaydon @GaydonLuke, business development, sports at @accedotv on how he thinks #AI will enhance #sports content creation. #automation https://t.co/Pz7aCSLdXb","['AI', 'sports']"
670,EastCarolina,"The official Twitter account of #ECU, home of #PirateNation. ☠️ Use #ECUviews with your campus photos! 📸 IG: eastcarolinauniv","Greenville, NC",394,58049,14691,4,"Calling all of #PirateNation 🗣️

Let's #PaintItPurple today for Dr. @PhilipGRogers 💜

Sport your purple and comment ⬇️ with a 📸 to remind him just how #LoyalAndBold we #Pirates #ARRRGH 🏴‍☠

#ICYMI: We #WelcomeDrRogers, our 12th chancellor ⤵️
https://t.co/is3p92xY4s","['PirateNation', 'PaintItPurple', 'LoyalAndBold', 'Pirates', 'ARRRGH', 'ICYMI', 'WelcomeDrRogers']"
671,joke2power,"Writer, producer.",,4999,1826,266765,1,"""Even after people have been vaccinated and sports are being played as scheduled again, I think there is going to be for a number of years, a discernible leveling off of sport not returning to the same viewership levels it had pre-pandemic"" https://t.co/OwE3E7u2Pf https://t.co/KatcU2TW49",[]
672,OnyeamumaElijah,"Behold Elijah is here ... 1Kings 18:8,11.
The prophet after the Order of John the Baptist .... in the Spirit and Power of Elijah ... Luke 1:17.",Enugu,15,0,15,0,Wolves target Liverpool man as cover for injured Raul Jimenez https://t.co/3KkjbelIrp via @Metro_Sport,[]
673,CarleenAnderson,🌸Mamoo to my SonShine🌅 Associate Artist @HallforCornwall 🎶Composer 📝Storyteller✍🏾 Writer 🎵 Musician 🎤Vocalist 🌊Chocolate Mermaid🏊🏾‍♀️,"England, UK",538,3431,5028,14,"""This is a chance to really help drive a positive and diverse change for a sport which does require it across the world, not just in Britain""

@alicedearingx outlines her quest to become the first Black female swimmer to represent Britain at the Olympics.

https://t.co/FE880HRMFn https://t.co/z4seSwqQpq",[]
674,gail_forse,"Fan of Green & Blacks, Cadburys etc. Love Take That and Gigglebiz... really",United Kingdom,862,401,6736,12,"Fantastic to see @Lboroswimming's @alicedearingx featured in global publication, @CNN.

Read the story and view the video below:

https://t.co/3rmDA88rvQ",[]
675,sandcvacancies,"S&C and Performance Staff recruitment from around the world. Partners: @rugbyvacancies @sportsvacancies, @rugbyoutreach. andy@sportvacancies.com",United Kingdom,167,8793,3825,3,Take a look at the newest list with exciting sports vacancies: 1) Performance Analyst (Under 15s Focus) – Leicester City Academy; 2) Chair - Sport England – Department for Digital Culture Media &amp; Sport; 3) Head of Sprints &amp; Relays – UK Athletics; 4) ... https://t.co/X1gNGfsNvP https://t.co/XT2DLbkRQL,[]
676,ExpressandStar,Breaking news and sport from the Express & Star | Email us at newsdesk@expressandstar.co.uk,Wolverhampton,3849,151505,195671,2,"Sam Allardyce says he has become Albion boss because he wants the thrill of keeping the club in the Premier League #wba #baggies 

https://t.co/8aUkwhCAR6","['wba', 'baggies']"
677,ShropshireStar,Breaking news and sport from the Shropshire Star | Email us at newsroom@shropshirestar.co.uk.,"Shropshire, UK",3053,89966,117121,0,"Nuno Espirito Santo says Wolves fans’ favourite Jonny Castro Otto is ‘doing a fantastic job’ in his recovery from a serious knee injury #wwfc 

https://t.co/p5R80iOs4O",['wwfc']
678,SABreakingNews,All the latest breaking news from across South Africa in one stream. info@sabreakingnews.co.za,South Africa,3364,770342,432571,0,Dwaine Pretorius‚ Lutho Sipamla and Raynard van Tonder added to Proteas Test squad: Cricket South Africa (CSA) has included Dwaine Pretorius and uncapped Raynard van Tonder and Lutho Sipamla to the Proteas squad for the two-match Test series against Sri… https://t.co/1Lo5q1ttdL https://t.co/QlIYfHK02b,[]
679,SoSheffield,We ♥ Sheffield! Do you love Sheffield as much as we do? Follow for the very best of your city!,Sheffield,1932,13510,17965,0,"What channel is Brighton v Sheffield United on? Kick off time, live stream and latest team news - RadioTimes https://t.co/CuwcY9IRYF https://t.co/QACfzY4BBw",[]
680,ChochilinoRadio,,,27,95,291485,0,"‘I feel like I’ve known Rafael Nadal for a long time’, says WTA star https://t.co/4pFiJ61J4j",[]
681,27BOSTANCI,"Tek aşk ALLAH aşkı, diğer hesabımlarım @bostanci_27 @Bostanci27Fb @BostanciFb27
Gaziantep - Denizli💛💙🇹🇷",Türkiye,4196,4307,42551,1,😊😂😂Beter ol Bein sport https://t.co/HmdvUUKnoV,[]
682,WBJonline,The Washington Business Journal keeps you in the loop on what's happening in the Greater Washington business community.,"Washington, D.C.",680,32846,80326,0,"Running might seem like an act of solitude. But for Chris Farley of Pacers Running, it's the community around the sport he's missed this year with the cancellation of things like the Marine Corps Marathon.​ https://t.co/rRBZyFQqkq",[]
683,unorthobox,"Non Profit CIC born through a love of Boxing, we encourage people of all abilities to participate in activities which promote a healthy lifestyle  #SBS Winners","Leeds & Bradford, England",1186,1040,10348,5,"📰 | NEWS: @uk_sport chief praises GB Boxing’s management of Olympic programme during the pandemic in our 19/20 Annual Review, '#RisingToTheChallenge' - now AVAILABLE! 🥊

To access the review and read the full story click here  ⬇️

https://t.co/UMZpQhIOeO

#GBBoxing https://t.co/qxjb8fxNVE",[]
684,InStereotype13,There are thousands of papers in the world. Most are about news. A few go in-depth. Not one talks about the stereotypes that lie behind any aspect of human life,Digital Nomads,476,161,2317,1,"Japanese #women obtained two important #sport achievements, 1964 #Olympic #volley and 2011 #football #worldcup, that went beyond a normal success. Those victories helped an entire country to lift up the national spirit in delicate moments... https://t.co/0opXTJbCw0 https://t.co/aFbaRwdDOT","['women', 'sport', 'Olympic', 'volley', 'football', 'worldcup']"
685,ilnautilus,,,26,3001,17148,0,PRADA America’s Cup World Series: Race Report Day 2 https://t.co/KSlMnIwqqR,[]
686,WadeBatesRadio,Sports Reporter Good Karma Brands - Beaver Dam...Voice of Marian University Sabres Athletics.,Wisconsin,1406,1870,25234,1,Len Kasper knows baseball is a sport that still can be savored on radio https://t.co/G6ZYdkysIW @LenKasper,[]
687,ChochilinoRadio,,,27,95,291485,0,Arsenal Join List of Clubs Interested in Real Madrid Outcast Isco https://t.co/ULmA9mHDF4,[]
688,todaynewsj,,Bangladesh,389,63,1412,0,"First Test, Adelaide Oval (Day 2)

India 244 (Kohli 74, Starc 4-53) and 9-1

Australia 191 (Payne 73 *; Ashwin 4-55, Yadav 3-40)

India ahead by 62 runs

Scorecard

India held the upper hand as they lost 15 wickets on the second day of the  #cricket #sport https://t.co/CeZjgkLlnU https://t.co/xMe8h0youg","['cricket', 'sport']"
689,27BOSTANCI,"Tek aşk ALLAH aşkı, diğer hesabımlarım @bostanci_27 @Bostanci27Fb @BostanciFb27
Gaziantep - Denizli💛💙🇹🇷",Türkiye,4196,4307,42551,1,😊😂😂Beter ol Bein sport https://t.co/HmdvUUKnoV,[]
690,ChochilinoRadio,,,27,95,291485,0,"Eibar vs Real Madrid Preview: How to Watch on TV, Live Stream, Kick Off Time &amp; Team News https://t.co/1GXXbLFELm",[]
691,RonyMostak,"I AM CONFIDENT BECAUSE I CAN ADMIT WHO I AM, WHAT I'VE DONE, AND LOVE YOU MYSELF FOR WHO I'VE BECOME. !!",,93,22,787,0,"Russia's doping ban reduced to two years, Court of Arbitration for Sport rules
https://t.co/YmpkSIn9pH
Russia's ban from major international sporting events has been halved by the Court of Arbitration for Sport (CAS), but the country will still not be r… https://t.co/c79zm1FrSY",[]
692,InsiderSportHQ,"Providing insight and cutting-edge analysis from the world of sport. Covering sponsorships, integrity, media rights and hospitality.",,338,195,2285,0,"The 'Best in Sports Media' Sport Business award has been presented to @SkySportsRacing, which re-launched in January 2019.

#SportBusiness #SportsMedia #Horseracing

https://t.co/Mn7tr16DtC","['SportBusiness', 'SportsMedia', 'Horseracing']"
693,apurvnagpal,"Film, travel & sport fanatic. Loves & lives life to the fullest ! Author, Eighteen Plus Duets https://t.co/2n1tq6WQDY. Also Visiting Faculty, IIM-A","Pune, India",1841,7514,44700,0,"#Russia gets banned from #TokyoOlympics and #QatarWorldCup due to doping issues

I find it disproportionate as other countries issues are swept under the carpet (#Tennis with it's #TUEs, #USA &amp; it's athletes, #cyclists across the world)

https://t.co/9FWAdYSx0o","['Russia', 'TokyoOlympics', 'QatarWorldCup', 'Tennis', 'TUEs', 'USA', 'cyclists']"
694,Dalbinator,"🇨🇦 Trade Commissioner in USA: IL, WI, MO. CITP®|FIBP®.  #innovation, @Invest_canada  #womeninbiz, #travel tips. Prev: Guate, BZ, Cuba. My views; RT ≠ endorse.","Chicago, IL",663,806,4043,0,"#Startups are a team sport
Story of a #Chicago #entrepreneur in #KansasCity via @STARTLANDKC 
https://t.co/FXz4wcUPgX","['Startups', 'Chicago', 'entrepreneur', 'KansasCity']"
695,staronline,News updates from Malaysia's top English-language daily and website,"Kuala Lumpur, Malaysia",213,1649998,385787,1,"Soccer-Klopp left perplexed at Premier League's five-sub snub
https://t.co/8LLwHU65M8  https://t.co/8LLwHU65M8",[]
696,Physical_Prep,S&C Coach - SportSci - Data Analyst - Author - #ComplementaryTraining - #AgilePeriodization #HIITManual #StrengthTrainingManual #bmbstats #RStats #AthleteSR,"Belgrade, Republic of Serbia",3344,21375,18482,3,Take a look at the newest list with exciting sports vacancies: 1) Performance Analyst (Under 15s Focus) – Leicester City Academy; 2) Chair - Sport England – Department for Digital Culture Media &amp; Sport; 3) Head of Sprints &amp; Relays – UK Athletics; 4) ... https://t.co/X1gNGfsNvP https://t.co/XT2DLbkRQL,[]
697,brignewspaper,"The University of Stirling's student newspaper since 1969. SPA Best Publication in Scotland 2017.  Got a story?

Get in touch: news@brignews.com","Stirling, Scotland",431,2179,6046,0,"SPORT: Stirling University swimmer Duncan Scott has been pre-selected by Team GB ahead of next summer’s Tokyo Olympics.
https://t.co/jKR6QhH4yt",[]
698,CarClassified_,results on the edge😀,,1242,39,14013,0,"2020 Ford Escape SE Sport Hybrid Magnetic Metallic for sale - Used Cars for Sale
https://t.co/J8PfI2e0ea https://t.co/1UyYqWMIyC",[]
699,ubnm,Unified Brain News Media. A whole new way to discover news.,United States,0,87,34205,0,"'We should be less afraid to be afraid,' says historic El Capitan climber https://t.co/aSumZ4z275 (via https://t.co/P3FdM44f80) #news #Trending #TrendingNews","['news', 'Trending', 'TrendingNews']"
700,SABreakingNews,All the latest breaking news from across South Africa in one stream. info@sabreakingnews.co.za,South Africa,3364,770342,432571,0,"Klopp left perplexed at Premier League's five-sub snub: Liverpool boss Juergen Klopp was once again left scratching his head after Premier League clubs voted once more against allowing five substitutes per side in each game, despite the condensed schedule. https://t.co/LwjSJg1M3d https://t.co/ed1cio3byQ",[]
701,chasejohn121,#DFS #NHL #MLB PROVIDER @pickscity @Dailysportpickz #MKF-slayer. #CFB #CBB #Teampickscity,"Dallas, TX",734,371,1161,22,"🤑🤑🤑VIP HUGE CASH🤑🤑🤑

We crushed it in every sport today🔥

Record: 20-9 (+15.1U)🏦

VIP is killing it every day! You can get in for only $40 for rest of 2020. Don’t miss out on XMas money👊

CBB: 9-1 (+12.8U)
CSGO: 7-5 (+2.15U)
NFL: 4-3 (+0.15U)

https://t.co/3GqHApgxIF https://t.co/zWAKmwYC55",[]
702,cristinacalgary,"26-year-old girl, Spanish member of @TheGreenParty, @jon_bartley and @sianberry supporter, political activist,mental health advocate and @PSOE voter.   She/Her","Huércal de Almería,Almería.",5001,1835,220626,3,"""It was an extraordinary experience,seeing how they enjoy and learn to play as a team,it's essential that the @Fun_Realmadrid continues to support sport for everyone.""
Santiago Solari on visit the wheelchair basketball school.🤍
#RealMadrid
#SantiagoSolari
https://t.co/RGCIkjlsg5",[]
703,ccallannews,Coleman Callan is a journalist in Alabama. Coleman is dedicated to bringing the correct news to his community. Links and retweets are not endorsements.,"Cullman, AL",145,10,4809,0,"Russia's ban from major international sporting events has been halved by the Court of Arbitration for Sport (CAS), but the country will still not be represented at next year's Olympics or the 2022 FIFA World Cup.
    
 https://t.co/WGwYqfqdPY",[]
704,SABreakingNews,All the latest breaking news from across South Africa in one stream. info@sabreakingnews.co.za,South Africa,3364,770342,432571,0,India dismiss Australia inside a day to lead in Adelaide: India dismissed Australia for 191 in 72 overs on Friday to take a 53-run first-innings lead that looked highly unlikely in the first half hour of a dramatic second day of the day-night first test… https://t.co/Y7dNIpp7Yn https://t.co/vAnJrqlDa5,[]
705,SyrianskyS,"Llevo tu camiseta , pegada al corazón .
Los días que tú juegas , son todo lo que soy.
#HalaMadridYNadaMás
#HalaSolari
Loyalty is to the loyal : Santiago Solari",,148,125,3559,3,"""It was an extraordinary experience,seeing how they enjoy and learn to play as a team,it's essential that the @Fun_Realmadrid continues to support sport for everyone.""
Santiago Solari on visit the wheelchair basketball school.🤍
#RealMadrid
#SantiagoSolari
https://t.co/RGCIkjlsg5","['RealMadrid', 'SantiagoSolari']"
706,ExactaExpert,Horse Racing #Handicapper 🐎💵 #HorseRacingTips #GamblingTwitter #TeamPicksCity #LetsRideeee‼️💸🔥INSTAGRAM: @theexactaexpert,,1582,2274,6180,22,"🤑🤑🤑VIP HUGE CASH🤑🤑🤑

We crushed it in every sport today🔥

Record: 20-9 (+15.1U)🏦

VIP is killing it every day! You can get in for only $40 for rest of 2020. Don’t miss out on XMas money👊

CBB: 9-1 (+12.8U)
CSGO: 7-5 (+2.15U)
NFL: 4-3 (+0.15U)

https://t.co/3GqHApgxIF https://t.co/zWAKmwYC55",[]
707,stallingsgolf,Professional Golfer 🏌🏼 3x PGA Tour Winner 🏆 Husband to Jen and Dad to Finn and Millie 👨‍👩‍👧‍👦,"Knoxville, TN & Scottsdale, AZ",894,40863,4302,1,"Golf was a sport that @stallingsgolf played between seasons. Then he saw Tiger Woods win the 1997 Masters.

That story and more on the latest episode of our Forward Press podcast. Listen here: https://t.co/AYE3bCYvh1 https://t.co/Q9K8jhoWz3",[]
708,ShropshireStar,Breaking news and sport from the Shropshire Star | Email us at newsroom@shropshirestar.co.uk.,"Shropshire, UK",3053,89966,117121,0,"AFC Telford United boss Gavin Cowan is exploring the possibility of extending Eddie Jones’ loan spell #Bucks 

https://t.co/CTlBZMMv48",['Bucks']
709,irishnewssport,"Sports news, analysis and more from the Irish News.",Belfast,1474,31778,61454,0,"Kieran Donaghy hopes he can add a “half a percent” to the Armagh footballers after accepting Kieran McGeeney’s offer to join his backroom team ahead of the 2021 season - and revealed he’s already being chided by his Tyrone relations for the surprise move

https://t.co/pycbDPZqyC",[]
710,ExpressandStar,Breaking news and sport from the Express & Star | Email us at newsdesk@expressandstar.co.uk,Wolverhampton,3849,151505,195671,0,"Football has pretty much come full circle for Rob Edwards #wwfc 

https://t.co/EBElmoqtns",['wwfc']
711,HeraldPE,"Nelson Mandela Bay's leading newspapers The Herald and Weekend Post -  bringing you the best in local, national and international news. http://t.co/W114K5xKTo",Port Elizabeth,359,54676,87579,0,"Despite Chippa United’s dry spell with results not forthcoming in the Dstv Premiership, midfielder Ryan Rae says the players are positive they will  soon reap the rewards of their hard work. https://t.co/PbCLICLz4P",[]
712,kiddo_kash,Creative writer✍✍.. An Aspiring Programmer (in the process)🙏🏾🤲🏾. Instagram @kiddo_kash 👻👻@kiddo_kash. MACHALA NUMBER ONE⭐️🦅. Manchester united fan👹,Some Where In The World,396,2457,61950,3,"UFC icon, Khabib Nurmagomedov crowned as BBC World Sport Star of the Year ahead of LeBron James https://t.co/KyTDx0Q76Z https://t.co/EJtdVd0DuE",[]
713,staronline,News updates from Malaysia's top English-language daily and website,"Kuala Lumpur, Malaysia",213,1649998,385787,0,"Soccer-Union survey shows players wish to continue taking a knee
https://t.co/vu3jPHGOI6  https://t.co/vu3jPHGOI6",[]
714,AndGamblin,"Team of Handicappers! Sports/Sports Gambling Content. Louisiana’s best Sports Gambling Brand! I give out Free Plays, I accept tips on Venmo Tony-Y-2",The Boot,1142,2606,4590,22,"🤑🤑🤑VIP HUGE CASH🤑🤑🤑

We crushed it in every sport today🔥

Record: 20-9 (+15.1U)🏦

VIP is killing it every day! You can get in for only $40 for rest of 2020. Don’t miss out on XMas money👊

CBB: 9-1 (+12.8U)
CSGO: 7-5 (+2.15U)
NFL: 4-3 (+0.15U)

https://t.co/3GqHApgxIF https://t.co/zWAKmwYC55",[]
715,Redwing_BI,Redwing is focused on NHS Quality and Performance. Our cloud services work to improve effectiveness; to save money and achieve better patient care.,"Liverpool, United Kingdom",576,165,5255,0,Meet the sportswomen who twinned an elite career with life on the frontline in 2020 https://t.co/JoJQl3mzEv,[]
716,tmkfGuerilla,I'm coming for ur toothbrush,Pasha London School,855,453,3492,0,"They just won the FA cup. Confidence shouldn't be a problem. I suspect the January transfer window will bring big changes tot the current starting 11.
https://t.co/PKQkenPRqm via @BusinessLiveSA",[]
717,EastbourneBox,Affiliated to @EnglandBoxing. Join our boxing family!,"Eastbourne, England",1358,1058,1430,5,"📰 | NEWS: @uk_sport chief praises GB Boxing’s management of Olympic programme during the pandemic in our 19/20 Annual Review, '#RisingToTheChallenge' - now AVAILABLE! 🥊

To access the review and read the full story click here  ⬇️

https://t.co/UMZpQhIOeO

#GBBoxing https://t.co/qxjb8fxNVE",[]
718,akatougoroshi,プロレーサー兼エースパイロット,,252,252,129533,323,"First undisguised picture of @Toyota_Hybrid 2021 @FIAWEC GR Super Sport Le Mans Hypercar - Testing at Portimao

https://t.co/HSiYMxF5A2 https://t.co/lMkNDv4IiX",[]
719,BroAJK,"Brother in the Society of Mary; tweet, RT, or favorite/like =/= endorsement but simply interesting points made","Greater Dayton Area, USA",1801,873,32162,2,"#MorningGlory Feller’s Opening Day no-hitter in 1940, long considered the only 1 of its kind in the sport’s history, will share that designation w Leon Day of the Negro Natl League’s Newark Eagles, who no-hit the Philadelphia Stars on Opening Day in 1946 https://t.co/Eu1HV7yXuh",['MorningGlory']
720,HLSportandRec,News and information from the House of Lords National Plan for Sport and Recreation Committee. Produced by staff on behalf of the committee.,,43,90,41,1,"10/12 In our fourth evidence session, and last of 2020, we looked at #localgovernment #sport delivery with @IanBrooke8 from @cCLOAssociation and Cllr Gerald Vernon-Jackson CBE, Chair of the LGA Culture, Tourism and Sport Board @LGAcomms. Catch up here https://t.co/e0pRC1CCEL","['localgovernment', 'sport']"
